Category,Reference,Verse Text,Suggested CTA
Salvation,John 3:16,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",Accept This Gift Today
Salvation,Romans 10:9,"If you declare with your mouth, 'Jesus is Lord,' and believe in your heart that God raised him from the dead, you will be saved.",Make Your Declaration Now
Salvation,Ephesians 2:8-9,"For it is by grace you have been saved, through faith—and this is not from yourselves, it is the gift of God—not by works, so that no one can boast.",Receive Grace Today
Salvation,Acts 4:12,"Salvation is found in no one else, for there is no other name under heaven given to mankind by which we must be saved.",Find Your Salvation
Salvation,Romans 6:23,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord.",Claim Your Gift
Salvation,2 Corinthians 5:17,"Therefore, if anyone is in Christ, the new creation has come: The old has gone, the new is here!",Start Fresh Today
Salvation,John 14:6,"Jesus answered, 'I am the way and the truth and the life. No one comes to the Father except through me.'",Find The Way
Salvation,Romans 5:8,"But God demonstrates his own love for us in this: While we were still sinners, Christ died for us.",Experience This Love
Salvation,1 John 1:9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness.",Receive Forgiveness Now
Salvation,Titus 3:5,"He saved us, not because of righteous things we had done, but because of his mercy.",Accept His Mercy
Faith,Hebrews 11:1,"Now faith is confidence in what we hope for and assurance about what we do not see.",Build Your Faith Today
Faith,Romans 10:17,"Consequently, faith comes from hearing the message, and the message is heard through the word about Christ.",Strengthen Your Faith
Faith,Matthew 17:20,"He replied, 'Because you have so little faith. Truly I tell you, if you have faith as small as a mustard seed, you can say to this mountain, Move from here to there, and it will move. Nothing will be impossible for you.'",Move Mountains Today
Faith,Mark 11:24,"Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.",Pray With Confidence
Faith,James 1:6,"But when you ask, you must believe and not doubt, because the one who doubts is like a wave of the sea, blown and tossed by the wind.",Ask Without Doubt
Faith,2 Corinthians 5:7,"For we live by faith, not by sight.",Walk By Faith
Faith,Galatians 2:20,"I have been crucified with Christ and I no longer live, but Christ lives in me. The life I now live in the body, I live by faith in the Son of God, who loved me and gave himself for me.",Live By Faith
Faith,Hebrews 11:6,"And without faith it is impossible to please God, because anyone who comes to him must believe that he exists and that he rewards those who earnestly seek him.",Please God Today
Faith,1 Peter 1:7,"These have come so that the proven genuineness of your faith—of greater worth than gold, which perishes even though refined by fire—may result in praise, glory and honor when Jesus Christ is revealed.",Refine Your Faith
Faith,Romans 4:20-21,"Yet he did not waver through unbelief regarding the promise of God, but was strengthened in his faith and gave glory to God, being fully persuaded that God had power to do what he had promised.",Stand On The Promise
Healing,Isaiah 53:5,"But he was pierced for our transgressions, he was crushed for our iniquities; the punishment that brought us peace was on him, and by his wounds we are healed.",Receive Your Healing
